epoch,train_loss,val_loss,val_auroc,val_prauc
0,0.813710,0.914703,0.500000,0.800000
1,0.805400,0.911738,0.500000,0.800000
2,0.850807,0.908982,0.500000,0.800000
0,0.698988,0.695766,0.500000,0.538462
1,0.695950,0.695432,0.500000,0.538462
2,0.695595,0.695101,0.500000,0.538462
0,0.698988,0.695766,0.500000,0.538462
1,0.695950,0.695432,0.500000,0.538462
2,0.695595,0.695101,0.500000,0.538462
0,0.698988,0.695766,0.500000,0.538462
1,0.695950,0.695432,0.500000,0.538462
2,0.695595,0.695101,0.500000,0.538462
