model,split,auroc,prauc
BassetMini,0.8000,,0.5
BassetMini,0.8000,,0.5
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,,
linear_probe,test,,
linear_probe,test,,
linear_probe,test,,
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
linear_probe,test,0.5,0.8
