record	pos	dA	dC	dG	dT	max_abs	argmax
chr1:100000-100200(+)	0	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	1	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	2	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	3	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	4	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	5	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	6	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	7	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	8	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	9	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	10	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	11	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	12	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	13	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	14	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	15	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	16	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	17	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	18	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	19	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	20	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	21	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	22	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	23	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	24	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	25	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	26	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	27	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	28	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	29	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	30	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	31	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	32	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	33	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	34	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	35	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	36	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	37	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	38	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	39	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	40	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	41	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	42	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	43	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	44	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	45	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	46	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	47	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	48	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	49	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	50	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	51	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	52	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	53	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	54	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	55	0.000000	0.000012	-0.000004	0.000046	0.000046	T
chr1:100000-100200(+)	56	0.000000	0.000012	-0.000004	0.000046	0.000046	T
